PY,JI,TI,AU,AB,C1,AU_CO,AU1_CO,AUc_CO,N_AU,AU_TW,FU_TW,RP,FU,FX,DE,DI,DT,ID,PU,SO,TC,VL,DB,AU_UN,AUc_UN,Group
1978.0,AAPG Bull.-Am. Assoc. Petr. Geol.,PLATE CONVERGENCE AND ACCRETION IN TAIWANLUZON REGION,BOWIN C;LU R;CHAOSHING L;SCHOUTEN H,,"NATL TAIWAN UNIV,TAIPEI,TAIWAN.;",TAIWAN,TAIWAN,USA,4,1.0,1.0,"BOWIN, C (corresponding author), WOODS HOLE OCEANOG INST,WOODS HOLE,MA 02543, USA.",,,,,Article,,AMER ASSOC PETROLEUM GEOLOGIST,AAPG BULLETIN-AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,182,62,ISI,NATL TAIWAN UNIV,WOODS HOLE OCEANOG INST,B2
2011.0,AAPG Mem.,Two contrasting kinematic styles of active folding above thrust ramps western taiwan,Yue L;Suppe J;Hung J,"Two adjacent active thrust ramps in western Taiwan show contrasting hanging-wall structural geometries that suggest different kinematics, although they involve the same stratigraphic section and basal detachment. The Chelungpu thrust shows a classic fault-bend folding geometry, which predicts folding by kink-band migration without limb rotation, whereas the hanging wall of the Changhua thrust shows the characteristic geometry of a shear fault-bend folding, which predicts a progressive limb rotation with minor kink-band migration. We test the kinematic predictions of classical and shear fault-bend folding theories by analyzing deformed flights of terraces and coseismic displacements in the 7.6 moment magnitude scale Chi-Chi earthquake. In particular, differences in terrace uplift across active axial surfaces are used to show that the assumptions of classical fault-bend folding are closely approximated, including constant fault-parallel displacement, implying conservation of bed length, and hanging-wall uplift rates that are proportional to the sine of the fault dip. This provides a basis for precise determination of total fault slip because the formation of each terrace, combined with terrace dating, gives long-term fault-slip rates for the Chelungpu thrust system. Even the coseismic displacements of 3 to 9 m (10 to 29 ft) in the Chi-Chi earthquake are approximately fault parallel but have additional transient components that are averaged out over the time scale of terrace deformation, which represents 10-100 large earthquakes. In contrast, terrace deformation in the hanging wall of the Changhua thrust ramp shows progressive limb rotation, as predicted from its shear fault-bend folding geometry, which combined with terrace dating allows an estimation of the long-term fault-slip rate of 21 mm/yr (0.83 in./yr) over the last 31 ka. A combined shortening rate of 37 mm/yr (1.46 in./yr) is obtained for this part of the western Taiwan thrust belt, which is about 45% of © 2011 by The American Association of Petroleum Geologists.","Department of Geosciences, Princeton University, Princeton, NJ, United States; Department of Geosciences, National Taiwan University, Taipei, Taiwan; Department of Earth Sciences, National Central University, Jhongli, Taiwan",USA;TAIWAN;TAIWAN;TAIWAN,USA,USA,3,2.0,,"Yue, L.-F.; Department of Geosciences, , Princeton, NJ, United States",,NA NA NA,,10.1306/13251337M943431,Article,coseismic process;  deformation;  detachment fold;  displacement;  earthquake event;  earthquake magnitude;  fault geometry;  fault slip;  folding;  kinematics;  seismic moment;  terrace;  thrust fault;  uplift; Changhua;  Chelungpu Fault Zone;  Taiwan,,AAPG Memoir,18,,scopus,PRINCETON UNIVERSITY;NATIONAL TAIWAN UNIVERSITY;NATIONAL CENTRAL UNIVERSITY,DEPARTMENT OF GEOSCIENCES,A
1977.0,Agricultural Administration,ChineseAmerican Joint Commission on Rural Reconstruction JCRR Its organisation policies and objectives and contributions to the agricultural development of Taiwan,Wang Y,"The Chinese-American Joint Commission on Rural Reconstruction (JCRR) in Taiwan, Republic of China, is considered unique in many respects. It is a bilateral organisation operating on a semi-autonomous basis. It is an agency that is the first of its kind to prove the feasibility and effectiveness of binational technical co-operation, and its programmes and projects, covering all aspects of agriculture, are highly flexible and adaptable to changing rural circumstances and needs. Taiwan has had a successful agricultural development, and JCRR has made a substantial contribution to this success. It is for the purpose of introducing JCRR, its programmes, operating methods and achievements, that this paper has been written, in the hope that some of the elements of the JCRR experience could have application in other developing countries. © 1977.","Secretary General, Joint Commission on Rural Reconstruction, 37 Nan Hai Road, Taipei, 107, Taiwan",TAIWAN,TAIWAN,TAIWAN,1,1.0,,"Wang, Y.T.; Secretary General, 37 Nan Hai Road, Taipei, 107, Taiwan",,NA NA,,10.1016/0309-586X(77)90003-6,Article,,,Agricultural Administration,1,4,scopus,,NOTREPORTED,A
1991.0,AI Applications in Natural Resource Management,Expert systems for national forest management in China species selection for reforestation,Yong-Chi Y Y;Hui-Yi Y H,"The national forests of Taiwan, which encompass a wide variety of topography, soil types, climates, vegetation types, and resource demands, are under multiple-resource management. These national forests have two main functions: timber production and public benefit. The public benefit includes conservation of land, protection of the natural environment, and recreation. The goal of species selection is to find suitable species that will grow and develop into a healthy forest. A prototype expert system was developed for species selection in Taiwan's national forests. This expert system utilizes information about many environmental factors, including latitude, altitude, topography, air temperature, and soil type, as well as species-specific attributes such as tree growth and timber price. -from Authors","Dept. of Forestry, National Taiwan Univ., Taipei, 10764 Taiwan, Taiwan",TAIWAN;TAIWAN;TAIWAN,TAIWAN,,2,1.0,,,,NA NA,,,Article,afforestation;  developing country;  expert system;  forest;  forest management;  national forest;  reforestation;  reforestation scheme;  resources management;  species selection;  technological application; Taiwan,,AI Applications in Natural Resource Management,2,5,scopus,,,A
2010.0,Am. J. Sci.,ACCRETIONARY OROGEN AND EVOLUTION OF THE JAPANESE ISLANDSIMPLICATIONS FROM A SrNd ISOTOPIC STUDY OF THE PHANEROZOIC GRANITOIDS FROM SW JAPAN,Jahn B,"The Japanese Islands represent a segment of a 450 Ma old subduction-related orogen developed along the western Pacific convergent margin, and most tectonic units are composed of late Paleozoic to Cenozoic accretionary complexes and their high P/T metamorphic equivalents. The formation of the Japanese Islands has been taken as the standard model for an accretionary orogeny. According to Maruyama (1997), the most important cause of the orogeny is the subduction of an oceanic ridge, by which the continental mass increases through the transfer of granitic melt from the subducting oceanic crust to the orogenic belt. Sengor and Natal'in (1996) named the orogenic complex the ""Nipponides,"" consisting predominantly of Permian to Recent subduction-accretion complexes with veil, few fragments of older continental crust. These authors pointed out the resemblance in orogenic style between Japan and the Central Asian Orogenic Belt (CAOB). The present work uses new and published Sr-Nd isotopic data from the literature to test the statements made by these authors. A large proportion of the granitoids from SW Japan have high initial Sr-87/Sr-86 ratios, negative epsilon(Nd)(T) values and Proterozoic Sm-Nd model ages. The Japanese isotopic data are in strong contrast with those of two celebrated accretionary orogens, the Central Asian Orogenic Belt and Arabian-Nubian Shield, but are quite comparable with those observed in SE China and Taiwan, or in classical collisional orogens in the European Hercynides and Caledonides. This raises questions about the bulk composition of the continental crust in SW Japan, or the type of material accreted in accretionary complexes, and negates the hypothesis that the ""Nipponides"" contains very few fragments of older continental crust. The subduction-accretion complexes in Japan are composed mainly of recycled continental crust, probably of Proterozoic age. This study supports the idea that proto-Japan was initially developed along the southeastern margin of the South China Block.","Acad Sinica, Inst Earth Sci, Taipei 11529, Taiwan.;",TAIWAN,TAIWAN,TAIWAN,1,1.0,,"Jahn, BM (corresponding author), Natl Taiwan Univ, Dept Geosci, POB 13-318, Taipei 106, Taiwan.","NSC-TaiwanMinistry of Science and Technology, Taiwan [96-2116-M-001-004, 97-2752-M-002-003-PAE, 97-2116-M-001-011, 98-2116-M-001-009]","This article is dedicated to Professor Alfred Kroner, a highly distinguished scholar and long-time friend, in honor of his 70<SUP>th</SUP> birthday. The content of this paper was first presented in 2006 in the second ERAS International Workshop on ""Accretionary orogens and Continental Growth,"" held at Kochi University, Japan, and convened by Gaku Kimura and Yukio Isozaki. I benefited from discussions with many participants during the meeting. The company of Kazu Okamoto and Aoki-san during the sample collection of Miocene granites at Kashiwajima, SW Shikoku, is highly appreciated. Shunso Ishihara provided a suite of granite samples from the Sanyo belt and the analytical results are used in this paper. Nicole Morin (Rennes), Po-Hsuan Lin and Masako Usuki (Taipei) helped in the laboratory work. Kazu Okamoto taught me some geology of Japan. The assistance of Atsushi Utsunomiya, Qingguo Zhai, and Po-Hsuen Lin in the preparation of this paper is deeply acknowledged. The paper was improved by the comments and suggestions of Michel Faure, Fuyuan Wu and Simon Wilde. This work is supported by NSC-Taiwan grant numbers 96-2116-M-001-004, 97-2752-M-002-003-PAE; 97-2116-M-001-011; 98-2116-M-001-009.",Accretionary orogen; accretionary complex; Japanese Islands; Sr-Nd isotope tracer; Mesozoic granitoids; Nipponides; crustal growth; juvenile/recycled crust; Central Asian Orogenic Belt (CAOB); Arabian-Nubian Shield (ANS); SE China; Taiwan,10.2475/10.2010.02,Article,A-TYPE GRANITES; ARABIAN-NUBIAN SHIELD; PALEOZOIC CRUSTAL GROWTH; PAN-AFRICAN GRANITOIDS; I-TYPE GRANITES; SOUTHWEST JAPAN; CONTINENTAL-GROWTH; TECTONIC EVOLUTION; EASTERN DESERT; ISOCHRON AGES,AMER JOURNAL SCIENCE,AMERICAN JOURNAL OF SCIENCE,72,310,ISI,INST EARTH SCI,NATL TAIWAN UNIV,A
2021.0,Am. J. Sci.,Terrestrial biomarker isotope records of late Quaternary climate and source-to-sink sediment transport processes in southwestern Taiwan,Chang Q;Hren M;Lin A;Tabor C;Yu S;Eley Y;Harris G,"Fluvial sediments are important archives of paleoenvironments. However, variations in sediment production and transport processes greatly influence sediment geochemistry and resultant interpretations of ancient conditions. Tectonically-active tropical regions are particularly sensitive to climate feedbacks because these areas are often characterized by high precipitation rates, rapid erosion and short sediment residence times. We analyzed the hydrogen and carbon isotope composition of plant-derived n-alkanes (delta H-2(n-alkone) and delta C-13(n-alkone)) in sediment cores along the Gaoping River-submarine canyon system in southwestern Taiwan to examine climatic and geomorphic controls on isotope geochemical signatures of fluvial sedimentary archives. These records span the last similar to 26 kyr and provide critical insight into the temporal and spatial variations in sedimentary biomarker isotopes within a source-to-sink system. Isotope data are coupled with new results from an iCESM 1.2 Earth System Model of precipitation isotopes during the last glacial-interglacial cycle. Biomarker isotope and modeling results support two important conclusions . First, biomarker isotope values change by similar to 10 to 15 parts per thousand in delta H-2(n-alkone) and similar to 1 to 2 parts per thousand delta C-13(n-alkone) in offshore SW Taiwan through the late Quaternary deglaciation. These shifts arc consistent with iCESM predictions and other records from the South China Sea and are best explained by a shift in isotope hydrology due to regional warming and biologic responses to increased atmos- pheric pCO(2). Second, the ane of biomarkers preserved in onshore sediments proximal to the mountain range is similar to 15 to 20 parts per thousand more negative than biomarker deposited in offshore sites, and the temporal change in carbon isotopes exceeds that observed in the offshore deposits. The onshore core locality is proximal to the orogen and characterized by a mean elevation > 1 km compared to the offshore site, which has a mean catchment elevation of similar to 500 m. These data show that depositional setting and catchment hypsoinetry strongly bias the geochemical signature of sediments transported through the river system. The magnitude of isotopic variability generated by catchment geometry and sediment integration greatly exceeds the change associated with warming during deglaciation. This result suggests that catchment integration processes may play a similar or larger role in shaping fluvial geochemical records in tropical mountain systems than climatic factors.","Univ Connecticut, Dept Geosci, Storrs, CT 06269 USA.;  Natl Cent Univ, Dept Earth Sci, Taipei, Taiwan.;  CPC Corp, Explorat & Dev Res Inst, Taipei, Taiwan.;  Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham, W Midlands, England.;",USA;TAIWAN;TAIWAN;UNITED KINGDOM,USA,USA,7,2.0,2.0,"Chang, QN (corresponding author), Univ Connecticut, Dept Geosci, Storrs, CT 06269 USA.","US National Science FoundationNational Science Foundation (NSF) [EAR-1752815, EAR-1650396]; National Science FoundationNational Science Foundation (NSF) [AGS-1804747]; NSFNational Science Foundation (NSF); National Center for Atmospheric Research -NSFNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO) [1852977]","We thank Nemiah Ladd, Zhonghui Liu, and Guangsheng Zhuang for helpful comments that improved this manuscript. This work was supported in part by the US National Science Foundation (EAR-1752815 and EAR-1650396). Tabor acknowledges funding from the National Science Foundation AGS-1804747. The CESM project is supported primarily by the NSF. This material is based upon work supported by the National Center for Atmospheric Research, which is a major facility sponsored by the NSF under Cooperative Agreement No. 1852977. Computing and data storage resources, including the Cheyenne supercomputer (doi:10.5065/D6RX99HX), were provided by the Computational and Information Systems Laboratory (CISL) at NCAR.",Source-to-sink; n-alkane; surface processes; last deglaciation; hydrogen isotope; carbon isotope,10.2475/04.2021.01,Article,CARBON-ISOTOPE DISCRIMINATION; LAST GLACIAL MAXIMUM; SOUTH CHINA SEA; WAX N-ALKANES; STIFFKEY SALT-MARSH; PLANT LEAF WAXES; DELTA-D; HYDROGEN ISOTOPE; SUBMARINE-CANYON; HIGH-RESOLUTION,AMER JOURNAL SCIENCE,AMERICAN JOURNAL OF SCIENCE,1,321,ISI,UNIV CONNECTICUT;NATL CENT UNIV;EXPLORAT AND DEV RES INST;UNIV BIRMINGHAM,UNIV CONNECTICUT,B2
2006.0,Anatolia,Assessing a river tracing behavioural model A Taiwan example,Lee T,,"Graduate School of Leisure and Exercise Studies, National Yunlin University of Science and Technology, 123, University Road Section 3, Touliu, Yunlin 640, Taiwan",TAIWAN,TAIWAN,TAIWAN,1,1.0,,"Lee, T.H.; Graduate School of Leisure and Exercise Studies, 123, University Road Section 3, Touliu, Yunlin 640, Taiwan; 電子郵件: thlee@yuntech.edu.tw",,NA NA NA,,10.1080/13032917.2006.9687194,Article,model;  river;  tourism;  tourist behavior;  tourist destination; Asia;  Eurasia;  Far East;  Taiwan,Anatolia,Anatolia,9,17,scopus,NATIONAL YUNLIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,電子郵件: THLEE@YUNTECH.EDU.TW,A
2007.0,Anatolia,Senior tourists purchasing decisions in group package tour,Wang K;Chen J;Chou S,"The senior demographic group is growing rapidly. Family decision-making research has frequently examined relationships between husbands and wives across stages and subdecisions. To supplement previous research, this study examines how different roles' influence over the decision-making stages when the senior tourist participates in a group package tour. A total of 293 senior tourists from Taiwan were surveyed and asked to indicate the amount of influence each family member and 'others' had. Results showed that husbands tend to have the most influence in the final purchase, and one interesting finding is that 'others' exhibit the highest degree of influence in the information search stage. In addition, the husband shows more influence in 9 subdecisions, and as family income level rises there is a rise in the likelihood of husband dominating with respect to the group package tour. Finally, implications for tourism marketers and areas for future research are discussed. Copyright © 2007 anatolia Printed in Turkey. All rights reserved.","Graduate Institute of Recreation Tourism and Hospitality Management, National Chiayi University, Chiayi, Taiwan; Department of Recreation Park and Tourism Studies, Indiana University at Bloomington, Bloomington, IN, United States; Department of Tourism, Providence University, 433 Taichung Hsien, Taiwan",TAIWAN;INDIA;USA;TAIWAN,TAIWAN,TAIWAN,3,1.0,,"Wang, K.-C.; Graduate Institute of Recreation Tourism and Hospitality Management, , Chiayi, Taiwan; 電子郵件: wangkc@mail.ncyu.edu.tw",,NA NA NA,Group package tour;  Taiwanese senior tourists;  Travel decision-making,10.1080/13032917.2007.9687034,Article,consumption behavior;  decision making;  elderly population;  tourism market;  travel behavior; Asia;  Eurasia;  Far East;  Taiwan,Anatolia,Anatolia,32,18,scopus,NATIONAL CHIAYI UNIVERSITY;INDIANA UNIVERSITY AT BLOOMINGTON;PROVIDENCE UNIVERSITY,GRADUATE INSTITUTE OF RECREATION TOURISM AND HOSPITALITY MANAGEMENT,A
2008.0,Anatolia,Determining the motivation of wellness travelers,Chen J;Prebensen N;Huan T,"This research depicts a new investigative theme pertaining to travel motivation to wellness destinations. Owing to the paucity of definition of such a phenomenon, this study first defines wellness tourism and then launches an empirical study to explore the underlying motivational factors. Both qualitative and quantitative techniques are presented. The qualitative method assists the researchers in finding specific attributes alluring the travelers, while the quantitative method profiles the importance ranking of motivations under investigation. The study finds that relaxation, pursing multiple activities, recreation, and enjoying nature are the top four motivations. In terms of the ranks of importance, relaxation is the leading indicator. The research concludes with relevant market implications and suggestions for future research. Copyright © 2008 anatolia Printed in Turkey. All rights reserved.","Department of Recreation Park and Tourism Studies, University of Indiana, HPER 132, Bloomington, IN 47405, United States; Department of Marketing and Social Science, University of Tromso, Tromso, Norway; College of Tourism and Leisure, National Penghu University, Penghu, Taiwan",INDIA;USA;NORWAY;TAIWAN,INDIA,USA,3,4.0,,"Chen, J.S.; Department of Recreation Park and Tourism Studies, HPER 132, Bloomington, IN 47405, United States; 電子郵件: joechen@Indiana.edu",,NA NA NA,Motivation;  Personal health;  Taiwan;  Wellness,10.1080/13032917.2008.9687056,Article,empirical analysis;  health status;  qualitative analysis;  quantitative analysis;  tourist destination;  travel behavior; Asia;  Eurasia;  Far East;  Taiwan,Anatolia,Anatolia,65,19,scopus,UNIVERSITY OF INDIANA;UNIVERSITY OF TROMSO;NATIONAL PENGHU UNIVERSITY,NOTREPORTED,A
2009.0,Anatolia,Managing quality to influence loyalty,Kan T;Yen T;Huan T,"Many studies examine the relationships between quality, satisfaction and loyalty. To achieve practical relevance this research examines the impact of perceived relationship investment and perceived justice on the three elements of relationship quality of satisfaction, trust and commitment. The research examines consequences of varying levels of three elements of relationship quality on behavioral loyalty. Data are from personal interviews at some of Taiwan's urban leisure farms. A model is formulated and estimated by structural equation modeling (SEM) with good reliability, validity and a explanation. A key result is that perceived justice (PJU) and perceived relationship investment (PRI) tends to positively impact perceived relationship quality but not trust. Another result is that relationship quality expressed in relationship satisfaction (RSAT) and commitment (COM) have a direct and positive impact on trust (TRU). Finally, only commitment directly and positively impacts behavioral loyalty. Implications of results for theory and managerial application are presented.","Department of Travel Management, National Kaohsiung Hospitality College, 1, Sung-ho Rd. Hsia-Kang, Kaohsiung, Taiwan; Department of Tropical Agriculture and International Cooperation, National Pingtung University of Science and Technology, 1 Hiseuh Fu Rd., Neipu, Taiwan; College of Tourism and Leisure, National Penghu University, 300, Liu-Ho Rd., Makung, Penghu, Taiwan",TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,3,1.0,,"Kan, T.-C.; Department of Travel Management, 1, Sung-ho Rd. Hsia-Kang, Kaohsiung, Taiwan; 電子郵件: kan@mail.nkhc.edu.tw",,NA NA NA,Causal modeling;  Justice;  Loyalty;  Quality's antecedents;  Relationship investment,10.1080/13032917.2009.10518896,Article,human behavior;  modeling;  social behavior,Anatolia,Anatolia,2,20,scopus,NATIONAL KAOHSIUNG HOSPITALITY COLLEGE;NATIONAL PINGTUNG UNIVERSITY OF SCIENCE AND TECHNOLOGY;NATIONAL PENGHU UNIVERSITY,NOTREPORTED,A
